Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
CAUCAIA,3.2,3.6,3.5,3.6,3.8,4.0,4.2,4.2,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.3
CEDRO,3.0,3.2,3.6,3.7,4.0,4.3,4.5,4.7,3.0,3.2,3.5,3.9,4.3,4.5,4.8,5.0
CHAVAL,3.0,3.0,3.2,3.4,3.3,4.2,4.6,5.0,3.0,3.2,3.5,3.9,4.2,4.5,4.8,5.0
CHORÓ,2.6,3.2,3.1,3.6,3.1,3.8,4.4,4.9,2.6,2.7,3.0,3.4,3.8,4.0,4.3,4.6
CHOROZINHO,2.3,2.9,3.4,3.2,3.7,4.2,4.6,5.4,2.3,2.5,2.8,3.2,3.6,3.9,4.2,4.5
COREAÚ,2.9,3.2,3.6,3.9,4.9,5.6,5.4,5.7,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
CRATEÚS,2.6,3.0,3.3,3.5,4.1,4.8,4.7,5.1,2.6,2.8,3.0,3.4,3.8,4.1,4.3,4.6
CRATO,2.9,3.2,3.6,3.9,3.9,4.2,4.4,5.0,2.9,3.1,3.3,3.7,4.1,4.4,4.6,4.9
CROATÁ,3.3,3.5,3.4,3.4,3.6,4.4,4.7,5.2,3.3,3.5,3.7,4.1,4.5,4.8,5.0,5.3
CRUZ,3.9,4.0,4.5,4.5,4.8,5.7,6.4,6.9,3.9,4.1,4.3,4.7,5.1,5.4,5.6,5.9
DEPUTADO IRAPUAN PINHEIRO,3.3,3.7,4.0,4.5,4.7,5.4,5.1,5.4,3.4,3.5,3.8,4.2,4.6,4.8,5.1,5.3
ERERÊ,2.5,2.3,2.6,3.7,4.3,4.1,4.3,4.8,2.6,2.7,3.0,3.3,3.7,4.0,4.3,4.5
EUSÉBIO,3.8,3.7,4.2,4.6,4.6,4.9,5.2,5.3,3.8,4.0,4.3,4.7,5.0,5.3,5.5,5.8
FARIAS BRITO,2.9,3.3,3.1,3.9,4.4,4.5,5.4,5.1,3.0,3.1,3.4,3.8,4.2,4.4,4.7,5.0
FORQUILHA,3.0,3.0,4.3,4.5,4.9,5.0,5.5,5.7,3.0,3.2,3.4,3.8,4.2,4.5,4.7,5.0
FORTALEZA,2.8,3.0,3.5,3.6,3.8,4.2,4.7,5.1,2.8,2.9,3.2,3.6,4.0,4.2,4.5,4.8
FORTIM,3.0,3.1,3.7,3.9,4.8,4.6,5.0,5.7,3.1,3.2,3.5,3.9,4.3,4.5,4.8,5.1
FRECHEIRINHA,2.9,2.7,3.4,3.6,4.5,5.9,6.1,5.9,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
GENERAL SAMPAIO,2.6,3.6,3.5,,4.7,4.9,5.2,5.1,2.6,2.8,3.0,3.4,3.8,4.1,4.3,4.6
GRAÇA,3.4,2.7,3.8,4.0,4.3,4.4,5.2,5.3,3.5,3.6,3.9,4.3,4.7,4.9,5.2,5.4
GRANJA,3.0,3.4,3.5,3.3,3.7,4.7,5.1,5.0,3.0,3.2,3.4,3.8,4.2,4.5,4.7,5.0
GRANJEIRO,2.9,3.2,3.8,4.2,5.2,4.1,5.0,5.5,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
GROAÍRAS,3.2,3.7,4.6,5.4,5.5,5.5,5.9,6.1,3.2,3.4,3.7,4.1,4.4,4.7,5.0,5.2
GUAIÚBA,2.6,2.8,2.9,3.3,3.7,3.9,4.2,4.6,2.6,2.8,3.0,3.4,3.8,4.1,4.3,4.6
GUARACIABA DO NORTE,3.1,3.5,3.5,3.8,4.6,4.4,4.8,5.2,3.1,3.2,3.5,3.9,4.3,4.6,4.8,5.1
GUARAMIRANGA,3.1,3.7,4.3,4.0,4.3,4.9,5.0,5.1,3.1,3.3,3.6,4.0,4.4,4.6,4.9,5.1
