Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
CAUCAIA,3.2,3.9,3.9,4.3,4.4,5.0,5.1,5.2,3.3,3.7,4.1,4.4,4.6,4.9,5.2,5.5
CEDRO,2.5,3.0,3.4,4.0,3.9,5.0,5.5,5.7,2.6,2.9,3.3,3.5,3.8,4.1,4.4,4.8
CHAVAL,2.8,3.4,3.8,3.9,4.9,5.2,5.9,6.3,2.8,3.2,3.6,3.8,4.1,4.4,4.7,5.1
CHORÓ,2.8,3.3,3.9,4.3,4.9,5.5,5.4,5.7,2.8,3.2,3.6,3.9,4.1,4.4,4.8,5.1
CHOROZINHO,2.5,2.9,3.4,3.8,4.7,5.5,6.0,6.4,2.6,2.9,3.3,3.5,3.8,4.1,4.4,4.8
COREAÚ,3.0,3.1,3.9,4.8,6.0,7.8,7.9,6.6,3.0,3.4,3.8,4.1,4.4,4.7,5.0,5.3
CRATEÚS,2.9,3.4,4.0,4.7,5.1,5.5,5.7,6.7,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
CRATO,2.9,3.3,3.8,4.5,4.7,5.1,5.3,5.5,2.9,3.3,3.7,4.0,4.3,4.6,4.9,5.2
CROATÁ,3.6,3.7,4.1,4.7,5.1,5.8,6.3,6.2,3.7,4.0,4.4,4.7,5.0,5.3,5.6,5.9
CRUZ,3.6,4.2,4.9,5.7,6.2,7.5,7.7,8.3,3.7,4.0,4.4,4.7,5.0,5.3,5.6,5.9
DEPUTADO IRAPUAN PINHEIRO,3.7,3.6,4.4,4.7,5.3,8.2,8.6,8.3,3.8,4.1,4.5,4.8,5.1,5.4,5.7,5.9
ERERÊ,3.1,3.0,3.5,4.5,4.8,5.7,6.4,6.3,3.1,3.5,3.9,4.2,4.5,4.8,5.1,5.4
EUSÉBIO,3.8,3.9,4.8,5.4,5.7,6.2,6.6,6.1,3.9,4.2,4.6,4.9,5.2,5.5,5.8,6.0
FARIAS BRITO,3.1,3.5,3.9,5.3,6.3,6.6,6.8,6.4,3.2,3.5,4.0,4.2,4.5,4.8,5.1,5.4
FORQUILHA,3.2,3.8,4.8,5.3,6.1,6.5,7.6,7.0,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
FORTALEZA,3.3,3.5,3.9,4.2,4.7,5.4,6.0,6.2,3.3,3.7,4.1,4.4,4.7,5.0,5.2,5.5
FORTIM,3.8,4.2,4.3,5.0,5.7,6.0,6.9,6.7,3.9,4.2,4.7,4.9,5.2,5.5,5.8,6.0
FRECHEIRINHA,2.9,3.4,4.3,4.5,5.5,7.6,7.9,7.8,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
GENERAL SAMPAIO,2.4,3.6,3.9,,4.4,5.6,5.7,5.7,2.5,2.9,3.3,3.6,3.9,4.2,4.5,4.8
GRAÇA,3.7,2.8,4.2,5.4,5.9,6.5,6.6,6.9,3.7,4.1,4.5,4.8,5.1,5.3,5.6,5.9
GRANJA,3.3,3.4,3.8,4.1,5.3,7.3,7.7,7.0,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
GRANJEIRO,,3.4,4.4,4.2,5.9,5.8,5.1,6.0,,3.6,3.9,4.2,4.5,4.8,5.1,5.3
GROAÍRAS,,4.3,5.6,6.7,7.4,7.8,7.8,7.6,,4.5,4.8,5.1,5.4,5.6,5.9,6.1
GUAIÚBA,2.8,2.7,3.8,4.3,4.4,4.8,5.5,5.6,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
GUARACIABA DO NORTE,3.3,3.3,3.9,4.8,5.9,6.3,6.2,6.6,3.3,3.7,4.1,4.4,4.7,5.0,5.2,5.5
GUARAMIRANGA,,3.6,4.5,4.6,5.4,5.8,6.2,6.0,,3.8,4.1,4.4,4.7,5.0,5.3,5.5
HIDROLÂNDIA,2.9,3.1,3.9,5.2,5.5,5.8,6.2,6.6,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
HORIZONTE,3.2,3.3,4.5,5.1,5.5,6.1,6.8,6.9,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
IBARETAMA,2.9,2.7,3.2,3.3,3.7,4.4,4.8,5.1,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
IBIAPINA,2.8,3.4,4.1,4.5,4.8,5.2,6.3,6.3,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
IBICUITINGA,,3.1,3.6,4.8,5.4,5.5,6.0,6.0,,3.3,3.7,3.9,4.2,4.5,4.8,5.1
ICAPUÍ,2.7,3.3,3.8,4.1,4.5,,5.9,6.0,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
ICÓ,2.4,3.1,3.4,4.0,3.6,4.6,4.5,5.0,2.5,2.8,3.2,3.5,3.7,4.1,4.4,4.7
IGUATU,3.3,3.7,4.1,5.1,5.1,5.6,5.8,5.7,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
INDEPENDÊNCIA,2.9,3.7,4.7,6.4,6.2,7.8,6.9,9.1,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
IPAPORANGA,3.9,3.2,4.7,5.7,4.7,6.8,7.0,7.4,4.0,4.3,4.7,5.0,5.3,5.6,5.8,6.1
IPAUMIRIM,2.3,2.3,2.5,3.9,5.4,4.1,4.2,5.2,2.3,2.7,3.1,3.4,3.7,4.0,4.3,4.6
IPU,2.2,3.1,4.0,4.5,4.2,4.8,6.6,5.9,2.3,2.6,3.0,3.3,3.6,3.9,4.2,4.5
IPUEIRAS,2.5,3.0,3.1,4.7,4.9,5.3,5.3,6.3,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
IRACEMA,3.4,3.9,4.5,4.6,5.2,5.2,5.9,6.5,3.4,3.8,4.2,4.5,4.7,5.0,5.3,5.6
IRAUÇUBA,3.2,3.2,3.7,5.0,5.6,6.1,6.3,6.4,3.2,3.6,4.0,4.3,4.6,4.9,5.2,5.5
ITAIÇABA,3.6,4.5,5.3,5.4,6.4,6.3,6.9,6.9,3.7,4.0,4.4,4.7,5.0,5.3,5.6,5.8
ITAITINGA,2.9,3.6,4.6,5.1,5.3,5.4,5.6,5.6,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
ITAPAJÉ,3.7,3.8,4.3,4.4,5.1,5.7,5.8,6.2,3.8,4.1,4.5,4.8,5.1,5.4,5.6,5.9
ITAPIPOCA,3.1,3.4,4.0,4.5,4.6,5.6,6.0,6.2,3.2,3.5,4.0,4.2,4.5,4.8,5.1,5.4
ITAPIÚNA,3.0,3.3,3.6,3.9,4.4,5.0,5.2,6.1,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
ITAREMA,3.1,3.6,4.4,6.7,5.6,6.3,6.2,6.5,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
ITATIRA,3.1,3.1,3.3,4.2,3.9,5.1,7.2,7.8,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
JAGUARETAMA,2.5,3.9,3.8,4.4,4.6,5.8,5.7,6.1,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
JAGUARIBARA,3.1,3.5,3.3,4.2,4.7,4.9,5.7,6.2,3.2,3.5,4.0,4.2,4.5,4.8,5.1,5.4
JAGUARIBE,2.7,3.1,3.7,4.4,4.9,5.5,6.4,6.3,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
JAGUARUANA,3.0,3.2,3.9,5.2,5.3,6.3,6.3,6.4,3.0,3.4,3.8,4.1,4.4,4.7,5.0,5.3
JARDIM,3.0,3.4,3.8,4.8,5.2,5.9,5.5,5.7,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
JATI,3.3,3.6,4.3,5.4,6.2,6.3,7.7,5.6,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
JIJOCA DE JERICOACOARA,3.7,4.4,4.9,6.9,7.2,7.6,8.2,8.3,3.8,4.1,4.5,4.8,5.1,5.4,5.6,5.9
JUAZEIRO DO NORTE,3.3,3.7,3.9,4.2,4.2,4.9,5.0,5.5,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
JUCÁS,3.4,3.5,3.6,5.1,4.9,5.4,6.2,6.4,3.5,3.8,4.3,4.5,4.8,5.1,5.4,5.7
LAVRAS DA MANGABEIRA,2.2,2.6,3.0,3.8,4.4,4.5,4.6,5.3,2.3,2.7,3.1,3.4,3.7,4.0,4.3,4.6
LIMOEIRO DO NORTE,3.5,3.9,4.3,5.0,5.1,5.5,5.5,6.4,3.5,3.9,4.3,4.6,4.9,5.2,5.4,5.7
MADALENA,2.8,2.9,4.3,4.5,4.6,5.0,5.2,5.3,2.8,3.2,3.6,3.8,4.1,4.4,4.7,5.0
MARACANAÚ,3.8,3.8,4.7,4.9,5.1,5.7,5.8,6.0,3.9,4.3,4.7,4.9,5.2,5.5,5.8,6.0
MARANGUAPE,3.6,3.7,4.3,4.8,4.6,5.3,5.8,6.1,3.7,4.0,4.5,4.7,5.0,5.3,5.6,5.9
